set VV := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 ;
set VS := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 ;
param cv := 
		15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 
		16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 17 0 16 0 0 17 25 0 0 0 0 0 23 0 0 
		17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 
		18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 10 0 0 20 0 
		19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 10 0 0 0 
		20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 
		22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 
		23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 17 
		25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 
		26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 
		27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 
		29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 
		31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 
		33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
;
param bs:	 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 := 
		0 0 0 20 0 0 0 0 39 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 35 0 0 24 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 28 0 0 0 0 0 0 34 0 0 0 0 0 
		2 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 40 0 0 0 0 0 0 0 0 0 36 36 0 0 0 0 0 0 0 20 27 0 0 0 0 0 20 0 0 0 
		3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 29 0 0 0 26 0 0 0 0 0 0 0 20 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 32 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 
		5 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		6 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 32 0 0 27 0 0 34 38 0 0 0 0 31 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 29 0 0 0 
		7 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 38 33 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		8 0 0 0 0 0 0 23 0 0 29 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		9 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 23 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 
		10 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 35 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 26 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 21 0 0 22 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 
		11 20 0 0 0 0 0 0 0 0 0 25 0 26 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 37 0 0 0 0 22 22 24 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 
		12 0 0 0 0 0 30 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 21 0 0 0 0 0 0 25 0 0 0 0 0 24 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 
		14 0 31 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 30 21 0 0 36 0 0 0 0 35 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 
		15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 30 38 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 
		16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 35 0 0 0 0 0 0 27 34 0 0 0 36 0 0 0 25 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 
		17 0 0 0 0 0 0 32 0 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 29 0 35 0 0 0 0 0 35 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 34 21 0 0 0 0 0 0 0 
		18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 33 0 0 0 37 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 39 0 0 40 0 0 
		19 0 0 32 0 0 0 0 0 0 0 0 22 0 0 30 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 26 0 0 0 0 32 0 26 20 22 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		20 0 0 0 0 0 0 27 0 0 0 0 0 0 37 21 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 25 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 
		21 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 
		22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 35 0 0 0 0 
		23 0 21 0 0 0 0 34 27 0 0 25 0 0 0 36 0 0 31 0 0 0 0 37 0 0 0 38 0 0 0 0 34 0 38 21 0 20 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 
		24 0 0 34 0 0 0 38 0 0 0 0 0 0 0 0 38 0 0 0 0 0 29 0 0 0 0 0 0 0 37 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 24 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 
		25 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 39 0 0 0 29 0 0 31 0 0 0 0 0 33 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 
		26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 38 0 0 0 0 32 0 0 39 0 23 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 39 0 0 0 0 0 31 0 0 
		27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 33 0 31 0 0 21 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 40 0 
		28 0 0 0 36 0 0 0 0 0 25 0 0 0 25 35 0 0 35 0 0 0 0 0 0 0 0 32 0 0 22 0 34 0 0 0 0 0 0 0 36 0 36 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 21 0 0 0 0 0 26 0 0 0 0 0 
		29 0 0 0 0 0 0 31 0 34 23 0 0 0 0 29 0 0 0 0 0 0 0 0 0 37 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 
		30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		31 0 35 0 0 25 0 20 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 39 39 34 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 40 
		32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 
		33 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 38 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 36 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 
		34 0 24 0 0 0 0 0 0 0 0 0 0 0 24 0 0 27 35 0 0 21 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 
		35 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 37 0 0 0 27 0 0 0 0 21 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		36 0 0 0 0 0 0 0 0 0 0 26 0 0 38 0 0 0 27 36 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 27 0 0 0 0 0 0 0 37 0 0 0 
		37 0 0 0 0 32 0 0 0 0 0 39 0 0 0 0 35 0 0 0 26 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 22 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 36 0 0 
		38 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 34 0 37 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 
		39 0 0 0 26 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 36 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 
		40 0 0 0 0 20 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 30 0 0 0 0 23 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 
		41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 22 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 
		42 0 24 28 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 33 32 0 0 0 0 0 34 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		43 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 37 0 23 0 0 23 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 39 0 0 0 0 40 0 0 0 0 0 0 0 
		44 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 26 0 0 30 0 0 0 0 0 0 0 0 38 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 
		45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 20 22 0 0 0 0 0 0 0 25 31 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		46 0 0 0 0 0 0 0 32 20 0 0 0 0 0 0 30 0 0 37 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 
		47 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 38 36 0 0 0 0 0 0 0 0 29 0 27 0 0 0 0 0 0 0 27 0 0 34 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 
		48 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 
		49 0 0 0 25 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 37 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		50 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 24 31 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 38 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 
		51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 
		52 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 23 24 0 21 0 0 0 0 0 32 0 0 0 0 25 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		53 0 0 36 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 27 34 0 0 0 0 0 0 31 0 0 0 0 0 37 0 0 21 0 
		54 0 0 36 0 0 0 0 0 0 0 21 22 0 0 0 38 24 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		55 0 38 0 0 0 0 0 0 0 0 0 24 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 23 0 0 23 0 0 0 0 0 27 0 33 0 0 0 39 0 0 0 0 34 0 0 0 0 20 0 21 0 0 0 0 0 0 0 0 0 0 38 0 
		56 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 23 0 27 0 0 0 0 0 0 0 0 0 23 0 20 0 0 0 0 39 33 0 0 0 34 0 0 0 0 0 0 0 37 0 0 
		57 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 34 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 39 0 0 0 0 0 0 0 39 0 0 0 0 35 0 0 0 
		58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 33 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 
		59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 35 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 37 0 0 0 0 0 0 0 0 25 0 
		60 0 28 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 30 0 0 39 31 0 0 0 0 0 30 0 0 0 
		61 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 21 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		62 0 0 20 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 34 0 0 37 39 0 0 0 0 35 0 0 0 0 0 0 0 
		63 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 
		64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 36 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 21 25 0 0 0 
		65 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 40 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 
		66 0 0 0 0 31 0 0 0 0 0 0 0 0 37 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 25 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 28 
		67 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 39 0 0 0 0 0 0 0 0 0 26 0 0 0 25 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 
		68 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 37 0 0 0 0 26 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 37 0 0 0 0 34 0 0 0 0 0 21 0 0 0 0 0 0 0 0 
