set VV := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 ;
set VS := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 ;
param cv := 
		14 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 28 0 0 25 0 0 0 0 0 0 34 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 20 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 
		15 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 24 0 0 28 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 40 0 0 0 28 0 0 0 0 0 0 0 0 0 34 28 0 0 0 0 0 21 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 
		16 32 0 0 0 0 0 0 25 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 20 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 
		17 0 0 0 23 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 29 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		18 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 32 0 0 0 0 0 34 0 0 0 0 0 0 0 0 33 0 0 0 34 0 0 0 0 36 0 0 0 0 
		19 0 0 0 20 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 38 0 0 38 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 
		20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 26 0 33 0 0 0 31 0 0 22 0 0 0 22 0 0 35 0 0 0 39 28 0 0 0 0 0 0 0 0 31 30 0 0 0 0 0 0 0 
		21 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 30 0 0 36 0 0 0 0 0 0 0 28 0 0 31 0 0 31 0 0 0 0 0 32 0 0 37 0 0 0 0 25 31 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 40 0 0 0 0 0 0 0 0 
		22 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 29 0 0 0 27 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		23 0 0 28 24 0 0 0 0 0 0 20 0 0 32 0 0 0 21 38 0 0 0 29 0 0 0 0 0 24 0 0 21 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 33 0 0 0 0 0 29 0 0 30 0 25 0 0 0 0 0 0 0 38 35 0 0 0 0 40 0 0 40 0 0 31 0 0 0 0 0 0 38 0 0 
		24 0 0 39 0 0 24 0 0 0 0 0 34 0 0 31 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 25 0 0 0 30 28 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 23 0 0 0 0 31 0 0 0 
		25 0 0 0 0 0 0 0 0 0 28 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 25 0 0 0 0 28 0 0 0 0 0 0 0 30 33 0 0 39 0 20 0 0 25 0 0 0 40 0 0 38 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 22 0 33 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 36 0 0 0 28 0 0 0 0 0 0 38 0 0 0 0 27 0 0 0 0 0 0 0 28 0 0 0 
		27 0 0 0 0 0 0 0 0 22 0 37 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 33 0 0 0 0 0 0 0 0 0 34 29 0 0 39 0 0 0 24 0 0 25 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 26 0 35 0 
		28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 25 30 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 33 0 0 0 0 0 0 0 0 24 34 0 0 0 0 22 0 0 0 0 0 31 
		29 0 0 0 27 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 39 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 38 34 
		30 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 26 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 22 0 32 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 36 0 0 37 0 0 0 0 0 38 
		31 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 21 31 0 0 0 27 0 0 0 0 0 0 0 0 25 0 
		32 0 0 0 21 39 0 0 33 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 24 0 0 0 0 0 23 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 
		33 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 23 20 0 0 0 0 0 0 0 0 28 0 0 39 0 0 0 0 0 0 23 0 0 0 0 33 20 0 0 0 0 0 0 22 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 37 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 35 0 0 
		34 0 32 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 26 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 38 0 0 0 21 0 0 33 0 0 0 0 0 35 0 27 40 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 
		35 0 0 0 0 40 30 0 0 0 0 0 0 0 0 0 0 0 35 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 34 0 0 0 0 35 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 21 0 0 0 0 0 0 0 0 0 0 0 0 
		36 0 0 0 38 0 0 0 25 25 0 0 0 28 0 28 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 35 0 21 0 0 38 0 0 0 0 24 21 0 31 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 27 28 23 0 39 0 0 0 0 0 0 0 0 0 0 
		37 0 24 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 
		38 0 0 0 0 0 0 21 0 23 0 23 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 34 0 0 0 0 0 0 0 0 0 0 0 38 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		39 37 0 32 0 0 33 0 32 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 25 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		40 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 25 0 0 39 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 27 0 0 0 22 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 37 0 0 0 0 30 0 0 40 0 0 0 0 0 0 0 0 0 0 24 0 28 0 
		41 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 28 0 25 0 0 0 0 0 0 30 0 0 0 0 0 0 0 20 38 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 
		42 23 0 0 0 0 0 23 0 0 28 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 
		43 0 38 0 20 0 30 0 23 0 0 0 0 0 34 0 0 0 29 0 37 0 0 0 0 0 0 0 0 0 28 0 0 24 0 0 35 35 37 0 0 27 0 0 0 0 36 34 32 0 0 0 35 0 0 38 0 0 0 38 0 0 0 0 0 0 23 0 40 0 36 37 0 0 27 0 0 0 0 0 0 0 0 0 0 25 0 0 0 
		44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 
		45 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 31 0 0 28 39 0 0 0 0 0 0 0 0 21 0 21 0 0 0 0 0 0 36 0 0 0 0 0 0 20 0 0 0 0 0 21 0 0 0 0 0 0 0 0 24 0 0 33 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
		46 0 0 0 0 0 0 0 0 0 0 0 29 0 0 34 0 0 0 0 0 20 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0 26 35 0 38 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 23 0 0 0 28 0 0 0 0 0 0 0 
		47 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 36 0 0 0 0 0 0 0 33 0 20 0 25 0 0 32 0 0 0 0 29 0 22 38 0 22 0 0 32 0 0 0 0 20 0 37 0 0 39 0 0 25 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 28 0 
		48 0 32 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 39 0 0 0 22 33 0 38 0 27 0 31 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
